"filename", "language", "TypeScript", "GLSL", "JSON", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\convert_epilogue.json", "JSON", 0, 0, 5, 0, 0, 5
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\convert_goodbye.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\convert_rejoice.json", "JSON", 0, 0, 13, 0, 0, 13
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_encouraged.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_greet_again.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_greet_familiar.json", "JSON", 0, 0, 8, 0, 0, 8
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_greet_unknown.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_initial_bye.json", "JSON", 0, 0, -9, 0, 0, -9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_initial_greeting.json", "JSON", 0, 0, -9, 0, 0, -9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_intro_saint.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_intro_sinner.json", "JSON", 0, 0, 9, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_introduction.json", "JSON", 0, 0, -9, 0, 0, -9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_prayer_body.json", "JSON", 0, 0, 10, 0, 0, 10
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_prayer_end.json", "JSON", 0, 0, 10, 0, 0, 10
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_prayer_start.json", "JSON", 0, 0, 10, 0, 0, 10
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_smalltalk_compliment.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_smalltalk_god.json", "JSON", 0, 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_smalltalk_remark.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_encourage_1.json", "JSON", 0, 0, 6, 0, 0, 6
