"filename", "language", "TypeScript", "GLSL", "JSON", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\GChurch.ts", "TypeScript", 21, 0, 0, 1, 4, 26
"d:\GFF Online\gff-online\src\GConversation.ts", "TypeScript", 439, 0, 0, 83, 39, 561
"d:\GFF Online\gff-online\src\GDirection.ts", "TypeScript", -248, 0, 0, -14, -35, -297
"d:\GFF Online\gff-online\src\GRandom.ts", "TypeScript", -47, 0, 0, -7, -11, -65
"d:\GFF Online\gff-online\src\GRoom.ts", "TypeScript", 476, 0, 0, 39, 41, 556
"d:\GFF Online\gff-online\src\GSoundManager.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"d:\GFF Online\gff-online\src\GTown.ts", "TypeScript", 15, 0, 0, 0, 4, 19
"d:\GFF Online\gff-online\src\area.ts", "TypeScript", 28, 0, 0, 1, 2, 31
"d:\GFF Online\gff-online\src\areas\GArea.ts", "TypeScript", 23, 0, 0, 3, 3, 29
"d:\GFF Online\gff-online\src\areas\GBuildingArea.ts", "TypeScript", 3, 0, 0, 0, 2, 5
"d:\GFF Online\gff-online\src\areas\GChurchArea.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"d:\GFF Online\gff-online\src\areas\GWorldArea.ts", "TypeScript", 51, 0, 0, 6, 9, 66
"d:\GFF Online\gff-online\src\armors.ts", "TypeScript", 22, 0, 0, 9, 8, 39
"d:\GFF Online\gff-online\src\array.ts", "TypeScript", 9, 0, 0, 4, 1, 14
"d:\GFF Online\gff-online\src\assets\audio-manifest.json", "JSON", 0, 0, 11, 0, 0, 11
"d:\GFF Online\gff-online\src\assets\image-manifest.json", "JSON", 0, 0, 95, 0, 0, 95
"d:\GFF Online\gff-online\src\assets\json-manifest.json", "JSON", 0, 0, 77, 0, 0, 77
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_bg_agnostic.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_bg_athiest.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_bg_christian.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_bg_religious.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_agnostic.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_athiest.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_christian.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_player.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_religious.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_grace.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_intro.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_local.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_migrant.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_today.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\congregation_amen.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\congregation_praise.json", "JSON", 0, 0, 13, 0, 0, 13
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\congregation_question.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\congregation_thanks.json", "JSON", 0, 0, 9, 0, 0, 9
