Date : 2025-11-15 21:41:28
Directory : d:\GFF Online\gff-online\src
Total : 151 files,  8736 codes, 1040 comments, 1015 blanks, all 10791 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_2_conv.json | JSON       |         16 |          0 |          1 |         17 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_3_conv.json | JSON       |         13 |          0 |          1 |         14 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_4_conv.json | JSON       |          8 |          0 |          1 |          9 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_5_conv.json | JSON       |          8 |          0 |          1 |          9 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_6_conv.json | JSON       |         71 |          0 |          1 |         72 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_7_conv.json | JSON       |          8 |          0 |          1 |          9 |
| d:\GFF Online\gff-online\src\assets\json\conversations\opening_cutscene\opening_8_conv.json | JSON       |         92 |          0 |          1 |         93 |
| d:\GFF Online\gff-online\src\assets\json\conversations\player_proclaim_liberty.json         | JSON       |          9 |          0 |          1 |         10 |
| d:\GFF Online\gff-online\src\assets\json\conversations\rescue_conv.json                     | JSON       |         22 |          0 |          0 |         22 |
| d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_prisoner_conv.json           | JSON       |         48 |          0 |          1 |         49 |
| d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_prophet_conv.json            | JSON       |        104 |          0 |          1 |        105 |
| d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_released_conv.json           | JSON       |         28 |          0 |          1 |         29 |
| d:\GFF Online\gff-online\src\assets\json\conversations\talk_to_saint_conv.json              | JSON       |        144 |          0 |          0 |        144 |
| d:\GFF Online\gff-online\src\assets\json\focus_scripture.json                               | JSON       |        335 |          0 |          0 |        335 |
| d:\GFF Online\gff-online\src\assets\json\glossary_info.json                                 | JSON       |         70 |          0 |          0 |         70 |
| d:\GFF Online\gff-online\src\assets\scenery-manifest.json                                   | JSON       |          1 |          0 |          0 |          1 |
| d:\GFF Online\gff-online\src\assets\sprite-manifest.json                                    | JSON       |         53 |          0 |          0 |         53 |
| d:\GFF Online\gff-online\src\bible.ts                                                       | TypeScript |         36 |          4 |         11 |         51 |
