"filename", "language", "TypeScript", "PostCSS", "JSON", "HTML", "GLSL", "XML", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\strongholds\GStrongholdKeep.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 9, 7, 36
"d:\GFF Online\gff-online\src\strongholds\GStrongholdTower.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 9, 7, 36
"d:\GFF Online\gff-online\src\style.css", "PostCSS", 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\GFF Online\gff-online\src\town.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 4, 13, 57
"d:\GFF Online\gff-online\src\triggers\GBossTrigger.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 7, 7, 40
"d:\GFF Online\gff-online\src\triggers\GCastleDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GChurchDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GDevilStatueTrigger.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"d:\GFF Online\gff-online\src\triggers\GDungeonDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GEventTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 9, 36
"d:\GFF Online\gff-online\src\triggers\GFortressDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GKeepDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GProphetTrigger.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\GFF Online\gff-online\src\triggers\GStrongholdNorthArchTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\triggers\GTowerDoorTrigger.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\GFF Online\gff-online\src\types.ts", "TypeScript", 328, 0, 0, 0, 0, 0, 51, 49, 428
"Total", "-", 23311, 14, 11002, 12, 8, 33672, 3016, 3626, 74661
