Date : 2024-12-17 16:36:51
Directory : d:\GFF Online\gff-online\src
Total : 164 files,  49918 codes, 1023 comments, 1742 blanks, all 52683 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\GFF Online\gff-online\src\assets\json\conversations\solo_test_conv.json           | JSON       |         65 |          0 |          1 |         66 |
| d:\GFF Online\gff-online\src\assets\json\glossary_info.json                          | JSON       |        130 |          0 |          0 |        130 |
| d:\GFF Online\gff-online\src\assets\json\names\enemy_names.json                      | JSON       |         22 |          0 |          0 |         22 |
| d:\GFF Online\gff-online\src\assets\json\names\f_african_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_arabian_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_asian_names.json                    | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_common_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_european_names.json                 | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_indian_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\f_latino_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_african_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_arabian_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_asian_names.json                    | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_common_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_european_names.json                 | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_indian_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\m_latino_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_african_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_arabian_names.json                  | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_asian_names.json                    | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_common_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_european_names.json                 | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_indian_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\names\s_latino_names.json                   | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_1.json | JSON       |         20 |          0 |          0 |         20 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_2.json | JSON       |         26 |          0 |          0 |         26 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_3.json | JSON       |          8 |          0 |          0 |          8 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_4.json | JSON       |         38 |          0 |          0 |         38 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_5.json | JSON       |         20 |          0 |          0 |         20 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_6.json | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_7.json | JSON       |         50 |          0 |          0 |         50 |
| d:\GFF Online\gff-online\src\assets\json\scenery_zone_templates\zone_template_8.json | JSON       |         32 |          0 |          0 |         32 |
| d:\GFF Online\gff-online\src\assets\sprite-manifest.json                             | JSON       |      4,077 |          0 |          0 |      4,077 |
| d:\GFF Online\gff-online\src\assets\text-manifest.json                               | JSON       |         37 |          0 |          0 |         37 |
| d:\GFF Online\gff-online\src\assets\xml\kjv.xml                                      | XML        |     33,624 |          0 |          0 |     33,624 |
| d:\GFF Online\gff-online\src\assets\xml\schema.xsd                                   | XML        |         48 |          0 |          0 |         48 |
| d:\GFF Online\gff-online\src\bible.ts                                                | TypeScript |         37 |         10 |         14 |         61 |
| d:\GFF Online\gff-online\src\books.ts                                                | TypeScript |         58 |          3 |         18 |         79 |
| d:\GFF Online\gff-online\src\church.ts                                               | TypeScript |         10 |          0 |          3 |         13 |
| d:\GFF Online\gff-online\src\colors.ts                                               | TypeScript |         14 |          0 |          4 |         18 |
| d:\GFF Online\gff-online\src\commandments.ts                                         | TypeScript |         34 |          1 |         11 |         46 |
| d:\GFF Online\gff-online\src\depths.ts                                               | TypeScript |         15 |          3 |         12 |         30 |
| d:\GFF Online\gff-online\src\enemy.ts                                                | TypeScript |         71 |          7 |         18 |         96 |
| d:\GFF Online\gff-online\src\game_modes\GAdventureMode.ts                            | TypeScript |         14 |          0 |          3 |         17 |
| d:\GFF Online\gff-online\src\game_modes\GBaseGameMode.ts                             | TypeScript |         81 |          8 |         19 |        108 |
| d:\GFF Online\gff-online\src\game_modes\GBattleMode.ts                               | TypeScript |         15 |          1 |          5 |         21 |
| d:\GFF Online\gff-online\src\game_modes\GBibleMode.ts                                | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GBooksMode.ts                                | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GGlossaryMode.ts                             | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GMainMenuMode.ts                             | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GMapMode.ts                                  | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GOptionsMode.ts                              | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GPeopleMode.ts                               | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GStatsMode.ts                                | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GStatusMode.ts                               | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GTitleMode.ts                                | TypeScript |          6 |          0 |          3 |          9 |
| d:\GFF Online\gff-online\src\game_modes\GWorldBuildMode.ts                           | TypeScript |         10 |          0 |          3 |         13 |
| d:\GFF Online\gff-online\src\glossary.ts                                             | TypeScript |         11 |          0 |          3 |         14 |
| d:\GFF Online\gff-online\src\goals\GChasePlayerGoal.ts                               | TypeScript |         23 |          4 |          4 |         31 |
| d:\GFF Online\gff-online\src\goals\GGoal.ts                                          | TypeScript |        139 |         16 |         28 |        183 |
| d:\GFF Online\gff-online\src\goals\GRejoiceGoal.ts                                   | TypeScript |         16 |          3 |          6 |         25 |
| d:\GFF Online\gff-online\src\goals\GRestGoal.ts                                      | TypeScript |         17 |          7 |          6 |         30 |
| d:\GFF Online\gff-online\src\goals\GSearchForPlayerGoal.ts                           | TypeScript |         45 |          2 |          9 |         56 |
| d:\GFF Online\gff-online\src\goals\GSpawnImpGoal.ts                                  | TypeScript |         28 |          8 |          8 |         44 |
| d:\GFF Online\gff-online\src\goals\GWalkToPointGoal.ts                               | TypeScript |         25 |          0 |          5 |         30 |
| d:\GFF Online\gff-online\src\index.html                                              | HTML       |         12 |          0 |          3 |         15 |
